line,mod
-120,0.25
-119,0.225
-118,0.2
-117,0.175
-116,0.15
-115,0.125
-114,0.1
-113,0.075
-112,0.05
-111,0.025
-110,0
-109,-0.025
-108,-0.05
-107,-0.075
-106,-0.1
-105,-0.125
-104,-0.15
-103,-0.175
-102,-0.2
-101,-0.225
100,-0.25
