batter,stand,woba_L,pa_L,woba_R,pa_R
596129,L,0.28243398610233733,192,0.35024078145705184,699
596146,L,0.30742461352785616,320,0.35951700640194817,834
596295,L,0.28745754126690903,18,0.3230181869418195,20
596847,L,0.28456936163229585,169,0.35995798070004986,697
598265,L,0.313766248818673,318,0.32110765316628925,817
600303,L,0.30313386474526266,159,0.36266068369020477,501
605233,L,0.3265357646851297,63,0.3233519645560043,152
605353,L,0.32436768754301454,23,0.3090908670990155,81
605361,L,0.2724889367648772,21,0.3383909306201213,103
605412,L,0.31026463660008835,201,0.3026833227218778,639
605421,L,0.3205312624650978,43,0.2984216672196843,266
605483,L,0.2815612033195021,15,0.33381720548670263,14
605504,L,0.30870576035324815,4,0.33471992664206346,5
605540,L,0.3025601980987078,24,0.30658786662374826,71
605548,L,0.28620612061206124,68,0.3424850273966787,207
605612,L,0.2578080928617922,101,0.32508651630532565,559
606132,L,0.32696823746370557,279,0.33349542449407416,804
607043,L,0.36541865526826456,181,0.3522885830936417,541
607054,L,0.3129038558757296,56,0.33934802654727697,297
607219,L,0.308940841005909,1,0.3367173442660293,3
607461,L,0.27938450836960915,60,0.3463960654183458,473
607536,L,0.29292205470472565,18,0.32019737794412656,37
608328,L,0.2956358077454139,6,0.3344593989841359,9
608331,L,0.31172968996894246,30,0.3199588194291587,84
608336,L,0.36129063370123116,345,0.35361709432741123,635
608344,L,0.313491370952104,8,0.33687400121542277,7
608369,L,0.3208694435493445,340,0.3658243259517968,682
608384,L,0.2869654654654655,17,0.30876040582726355,108
608385,L,0.2908909860772212,209,0.3999063094763142,835
608422,L,0.3008178898775674,4,0.3278577797130301,36
608577,L,0.2955570119656345,184,0.3279258720111954,617
608597,L,0.2886530502069462,102,0.3370227129107527,296
608671,L,0.2877445557237685,21,0.32822233321324495,134
608718,L,0.30618488253319714,2,0.33571566445635426,4
613564,L,0.3125384566081272,9,0.3263728598003116,70
614173,L,0.2970336859688196,27,0.31889270705323713,171
615698,L,0.31113978565323164,6,0.3220741506458079,26
621011,L,0.3313810901439937,6,0.3434930506890917,60
621311,L,0.29802857732147775,223,0.3336113830423671,510
621433,L,0.26730032008337057,95,0.3334988533690901,277
621453,L,0.2790653310634158,141,0.33022809727543434,419
621458,L,0.3133690866270736,39,0.3420721398436533,160
621466,L,0.30552209544667774,106,0.33415869112725516,416
621532,L,0.3089752079249881,34,0.30723433758806634,111
621563,L,0.2719462992085386,186,0.3423071277828027,630
621566,L,0.3604321740013639,416,0.3698520335291572,849
622065,L,0.293111147327249,7,0.32119401215674476,22
622268,L,0.32473943169908004,21,0.31986170389668006,81
624133,L,0.30618488253319714,2,0.3380534110603438,7
624415,L,0.3320584485179984,303,0.34133819375582214,684
624424,L,0.3170658896856566,370,0.3750385935388123,820
624428,L,0.3107207304152043,351,0.3438158016655279,986
624503,L,0.29917366367076637,19,0.33441405749629466,85
624512,L,0.26315578981910664,76,0.33634083816317456,250
624513,L,0.2767297878055332,32,0.3223391644688853,212
628450,L,0.354089442026505,46,0.3299602173806931,137
628711,L,0.29585026570803374,12,0.3152762945847818,61
630105,L,0.3390295232871486,210,0.35969938395645257,477
640457,L,0.29958000465368806,382,0.3715088745943366,851
641154,L,0.27460177239329187,26,0.31632207986722566,45
641343,L,0.3006441889451327,190,0.3095902953153977,487
641355,L,0.3441610983910409,380,0.37437972684325155,765
641432,L,0.31810686015831136,185,0.3319744633776763,489
641470,L,0.2664683685252392,75,0.32908870827130215,237
641487,L,0.2910705545868894,389,0.33013306550143035,730
641541,L,0.3096669141468683,3,0.3344137118491925,8
641583,L,0.30079693611473274,7,0.3270937455009156,39
641584,L,0.28456995876844826,88,0.34518841089479907,167
641645,L,0.31148833683798727,46,0.34768027914189736,229
641829,L,0.276682428549036,36,0.3180471286051771,117
641856,L,0.31158846758809944,118,0.32009535083513163,432
641857,L,0.31991578264773374,349,0.345575852458908,821
641943,L,0.31113978565323164,6,0.3346277821225511,29
642082,L,0.2993252377963401,48,0.3259644260296245,344
642086,L,0.3566093742795223,221,0.3382101633631375,601
642133,L,0.3481530988779276,194,0.32851001475859176,573
