batter,stand,hev_R,ab_R,hev_L,ab_L,wHEV
666120,R,54.57,7,29.67,3,47.1
666129,R,58.6,5,76.0,2,63.57
666135,L,82.08,111,77.36,53,80.55
666158,L,80.98,162,74.98,50,79.56
666160,L,83.08,12,76.0,3,81.66
666163,L,74.61,36,64.46,13,71.92
666176,R,75.89,53,64.52,23,72.45
666182,R,77.74,309,79.12,101,78.08
666185,S,80.1,248,77.87,83,79.54
666198,R,75.92,52,79.12,34,77.19
666200,L,38.83,6,26.0,1,37.0
666211,L,71.96,56,65.85,27,69.97
666801,S,75.74,34,76.83,24,76.19
666915,R,83.21,125,83.19,91,83.2
666931,R,65.83,18,65.5,12,65.7
666969,R,78.79,201,82.9,116,80.29
666971,R,77.78,235,77.14,96,77.59
667670,R,78.63,59,82.0,26,79.66
668227,R,73.68,181,77.6,122,75.26
668663,R,70.02,51,74.06,18,71.07
668670,R,81.87,38,76.41,32,79.37
668678,R,45.8,10,17.71,7,34.23
668731,L,78.04,183,66.1,51,75.44
668800,R,72.29,70,71.5,26,72.08
668804,S,78.54,267,82.09,107,79.56
668820,R,57.33,3,35.0,2,48.4
668942,L,78.75,215,77.1,77,78.31
669016,L,85.34,56,77.21,24,82.9
669060,R,46.43,7,44.33,3,45.8
669134,R,83.1,21,53.5,2,80.53
669203,R,47.86,21,54.14,7,49.43
669221,R,79.68,168,76.64,80,78.7
669222,R,80.64,80,67.88,16,78.51
669242,S,74.57,344,76.19,113,74.97
669256,R,73.43,192,74.53,95,73.79
669257,R,82.76,188,79.17,83,81.66
669288,L,78.5,38,64.4,5,76.86
669289,R,72.22,90,73.95,75,73.01
669374,R,78.86,70,78.23,26,78.69
669394,R,92.31,16,73.14,7,86.48
669432,L,58.83,12,19.5,4,49.0
669674,L,48.0,5,43.5,2,46.71
669720,R,77.87,168,76.33,132,77.19
669952,R,53.33,3,60.0,1,55.0
670032,L,71.07,251,64.15,84,69.33
670042,L,78.58,24,62.85,13,73.05
670084,L,81.94,16,57.25,4,77.0
670097,R,76.61,54,78.69,45,77.56
670351,L,79.49,67,76.08,24,78.59
670370,R,80.5,18,83.47,15,81.85
670541,L,84.96,194,81.78,129,83.69
670623,R,76.5,18,68.22,18,72.36
670712,R,78.45,33,80.21,66,79.62
670764,S,79.6,48,80.14,36,79.83
670768,L,87.0,5,40.0,1,79.17
670912,R,56.12,8,33.33,3,49.9
670955,R,25.0,2,-19.0,1,10.33
671277,L,72.26,77,70.82,33,71.83
672284,L,77.77,94,77.42,66,77.63
672386,R,79.19,69,84.36,33,80.86
672695,S,62.17,6,60.5,2,61.75
672701,L,71.62,26,69.0,5,71.2
672779,L,72.57,28,64.14,7,70.88
673357,R,81.54,100,84.52,29,82.21
673451,L,72.39,98,68.65,20,71.76
673490,R,72.75,120,75.57,58,73.67
675656,R,83.8,5,75.7,10,78.4
676391,R,74.11,62,77.48,33,75.28
676480,R,70.43,7,72.0,1,70.63
676646,L,103.0,1,81.0,2,88.33
676694,R,80.79,34,82.71,21,81.52
676701,R,78.63,19,81.38,13,79.75
676801,R,83.46,102,81.71,48,82.9
676840,R,81.67,3,45.11,9,54.25
676900,R,78.0,1,71.5,2,73.67
677551,S,75.14,120,78.25,69,76.28
677960,R,53.79,14,66.25,4,56.56
680686,R,35.2,5,61.0,1,39.5
680776,L,75.18,49,75.47,19,75.26
680777,R,78.16,85,81.0,43,79.11
680911,R,73.82,49,77.12,42,75.34
683734,R,78.65,215,80.36,76,79.1
