batter,stand,hev_R,ab_R,hev_L,ab_L,wHEV
543243,R,57.29,17,49.33,9,54.53
543257,S,81.3,232,78.14,116,80.25
543281,R,79.22,258,80.29,94,79.51
543294,R,48.25,16,53.75,12,50.61
543305,S,78.16,57,81.74,23,79.19
543308,R,83.07,15,83.62,8,83.26
543309,R,77.68,69,85.64,39,80.55
543333,L,74.97,252,76.37,102,75.37
543432,R,79.86,7,86.0,2,81.22
543510,R,73.58,156,83.8,59,76.38
543543,L,84.57,130,71.59,39,81.57
543592,R,74.39,72,81.56,48,77.26
543594,L,-4.0,1,21.0,1,8.5
543685,R,81.92,119,79.37,59,81.07
543760,R,82.0,297,80.6,109,81.62
543768,L,78.45,111,71.0,28,76.95
543807,R,83.04,103,80.97,38,82.48
543877,R,74.61,212,77.49,107,75.58
543939,L,77.71,194,74.72,99,76.7
544369,L,76.15,184,74.65,49,75.83
544725,S,70.77,170,67.39,82,69.67
545121,S,67.0,23,69.0,15,67.79
545333,R,43.5,8,53.14,14,49.63
545341,R,78.16,255,77.79,95,78.06
545350,R,73.35,48,78.66,53,76.14
545358,R,77.26,110,83.14,35,78.68
545361,R,87.43,53,71.68,22,82.81
546318,L,75.84,199,70.86,90,74.29
546990,R,84.0,25,89.75,8,85.39
546991,R,78.11,19,76.92,13,77.63
547001,R,25.57,7,94.0,1,34.12
547004,L,73.21,63,81.17,12,74.48
547172,L,62.6,10,72.33,3,64.85
547180,L,83.26,213,75.5,84,81.07
547379,R,72.56,41,76.46,26,74.07
547942,L,48.19,16,25.67,3,44.63
547989,R,80.12,271,81.22,91,80.4
548389,R,-5.67,3,58.0,1,10.25
553869,R,74.08,147,78.32,77,75.54
553882,L,78.22,231,75.91,34,77.92
553902,R,72.78,109,76.82,60,74.21
553993,R,78.68,228,81.3,64,79.25
554430,L,49.76,17,64.09,11,55.39
570256,L,78.53,177,76.87,61,78.1
570481,R,72.15,123,71.34,56,71.9
570482,R,77.64,165,77.52,79,77.6
570731,R,73.86,302,79.8,115,75.5
571431,L,72.44,25,50.0,2,70.78
571448,R,77.99,341,81.74,84,78.73
571466,L,80.58,175,75.8,30,79.88
571510,L,17.0,1,93.0,1,55.0
571578,L,49.18,17,52.75,12,50.66
571657,R,76.29,262,83.21,73,77.8
571718,L,81.51,118,74.88,40,79.83
571740,S,75.22,45,69.72,25,73.26
571745,R,77.22,261,81.02,121,78.42
571771,R,80.17,206,80.29,129,80.22
571788,L,77.14,139,66.21,29,75.25
571875,L,81.44,64,70.82,11,79.88
571912,R,62.14,14,88.5,2,65.44
571945,R,29.0,2,16.0,1,24.67
571970,L,80.84,214,81.82,93,81.14
571976,R,72.95,185,74.83,72,73.48
571980,L,77.94,248,70.1,41,76.83
572008,R,76.69,13,82.0,15,79.53
572039,R,75.48,52,77.77,73,76.82
572041,R,78.26,187,82.67,88,79.67
572070,R,103.0,1,67.5,2,79.33
572122,L,80.87,246,77.23,123,79.66
572191,R,78.19,212,76.85,81,77.82
572228,R,86.29,69,77.61,46,82.82
572233,R,79.16,164,77.1,77,78.5
572287,R,77.44,96,85.79,63,80.75
572761,L,82.65,103,85.86,7,82.85
572816,L,76.38,191,64.5,34,74.58
572863,R,75.44,9,81.88,8,78.47
573131,R,82.68,73,84.71,73,83.7
573186,R,45.0,18,50.29,7,46.48
573262,L,80.16,219,74.68,76,78.75
575929,R,79.07,157,80.84,73,79.63
578428,R,75.01,246,76.21,109,75.38
591720,R,68.33,153,72.99,82,69.96
591971,S,71.74,38,72.44,9,71.87
592178,R,77.18,236,84.15,81,78.96
592192,R,77.17,208,80.61,118,78.42
592200,R,78.72,90,74.86,29,77.78
592206,R,81.57,245,81.82,89,81.64
592261,R,76.5,2,85.0,1,79.33
592273,R,74.86,35,79.69,26,76.92
592325,L,80.93,135,73.58,53,78.86
592332,L,51.43,14,58.5,6,53.55
592346,R,49.54,13,63.0,4,52.71
592348,S,81.7,90,75.8,44,79.76
592351,R,68.17,12,42.25,4,61.69
592419,L,67.0,1,83.0,1,75.0
592444,R,81.74,34,80.12,24,81.07
592450,R,86.07,219,87.66,97,86.56
592518,R,82.62,295,77.12,94,81.29
592530,L,79.82,50,65.5,4,78.76
592567,L,77.48,130,77.3,43,77.44
592622,L,75.67,12,85.33,3,77.6
592626,L,78.97,212,76.13,70,78.27
592662,L,15.5,2,45.0,2,30.25
592663,R,79.44,201,77.63,81,78.92
592669,R,76.17,213,80.75,112,77.75
592696,L,80.23,167,71.07,88,77.07
592717,R,54.0,2,38.0,1,48.67
592743,R,63.71,209,72.78,104,66.72
592761,R,29.0,5,-2.0,2,20.14
592767,L,55.5,12,47.78,9,52.19
592826,R,56.46,13,67.33,3,58.5
592836,S,60.33,12,37.0,2,57.0
592859,S,72.05,37,68.6,5,71.64
592863,L,73.9,20,93.25,4,77.12
592866,R,49.62,13,77.0,2,53.27
592885,L,76.89,165,77.22,54,76.97
593160,R,76.51,335,78.56,135,77.1
593428,R,79.37,249,75.74,121,78.18
593528,R,77.0,1,54.0,4,58.6
593590,R,67.38,32,84.43,14,72.57
593643,R,68.71,92,77.12,94,72.96
593871,S,79.36,255,78.49,140,79.05
593934,R,81.69,143,80.56,84,81.27
594694,S,68.84,106,74.26,31,70.07
594777,L,78.96,76,75.92,24,78.23
594798,L,69.2,15,58.78,9,65.29
594807,R,80.47,212,79.92,77,80.32
594809,L,74.55,153,64.26,35,72.63
594838,R,75.13,108,75.99,85,75.51
594988,L,81.0,11,62.83,6,74.59
595281,L,72.34,154,70.67,57,71.89
595284,S,72.42,52,72.32,25,72.39
595375,L,76.8,5,67.0,1,75.17
595453,R,76.25,20,75.56,9,76.04
595751,R,73.82,132,83.45,51,76.5
595777,S,74.99,197,65.91,45,73.3
595879,S,77.54,194,79.18,61,77.93
595909,L,79.94,65,64.0,20,76.19
595943,R,73.53,112,77.13,46,74.58
595956,R,72.88,52,77.44,25,74.36
595978,R,71.58,113,71.8,46,71.64
595981,R,54.0,1,75.36,14,73.94
596019,S,77.76,190,74.36,97,76.61
596056,R,79.33,73,81.09,35,79.9
596059,L,75.46,144,76.06,66,75.65
596103,R,75.58,57,77.03,113,76.54
596115,R,79.86,229,82.72,97,80.71
596117,L,52.47,17,60.67,3,53.7
596129,L,80.21,116,74.65,17,79.5
596142,R,80.27,147,79.45,71,80.0
596146,L,80.95,193,77.09,75,79.87
596295,L,41.2,15,53.0,10,45.92
596451,S,66.69,16,69.88,17,68.33
596748,R,72.17,215,77.24,98,73.76
596825,S,73.69,55,77.55,11,74.33
596847,L,84.57,98,77.94,35,82.83
598265,L,77.7,196,69.73,37,76.43
600301,R,72.57,7,78.57,7,75.57
600303,L,80.78,107,79.38,16,80.6
600474,R,77.67,129,76.85,94,77.32
600524,R,74.37,30,67.57,7,73.08
600858,R,67.5,2,44.5,2,56.0
600869,S,78.53,256,82.03,105,79.55
602074,R,72.51,147,75.91,76,73.67
602104,R,75.96,95,73.97,75,75.08
602922,R,74.0,34,75.35,17,74.45
605113,R,70.61,205,76.95,105,72.76
605119,R,78.04,137,76.97,31,77.84
605131,R,73.37,84,73.22,40,73.32
605137,S,79.35,223,80.4,94,79.66
605141,R,81.71,216,80.82,76,81.48
605170,S,77.16,153,81.69,42,78.14
605200,R,49.83,24,49.0,9,49.6
605204,R,83.03,75,77.41,22,81.76
605233,L,69.5,6,77.0,1,70.57
605244,R,73.22,45,71.0,17,72.61
605288,R,75.0,6,46.2,5,61.91
605346,R,80.2,5,48.5,2,71.14
605353,L,70.25,12,70.71,7,70.42
605397,R,50.12,17,63.0,7,53.88
605400,R,54.14,14,31.6,10,44.75
605412,L,72.07,138,67.0,32,71.12
605421,L,75.05,105,70.1,10,74.62
605452,R,49.71,21,73.5,2,51.78
605483,L,66.2,10,34.2,10,50.2
605507,R,46.5,4,54.8,5,51.11
605540,L,61.47,19,32.75,4,56.48
605548,L,75.32,93,72.7,40,74.53
605612,L,80.14,174,75.66,29,79.5
606115,R,75.19,31,71.36,14,74.0
606132,L,69.45,255,62.28,99,67.44
606157,R,79.88,41,75.14,43,77.45
606192,R,81.06,234,82.64,84,81.48
606213,R,75.71,136,81.95,59,77.6
606299,R,74.36,59,77.78,45,75.84
606336,R,74.67,3,55.0,1,69.75
606466,S,77.64,138,80.81,68,78.69
606988,R,77.93,28,69.57,14,75.14
606992,R,77.58,118,85.67,69,80.57
606993,R,72.25,4,78.5,8,76.42
607043,L,74.77,141,78.04,53,75.66
607054,L,76.9,120,79.32,25,77.32
607111,R,69.25,8,64.33,9,66.65
607200,R,26.5,10,46.27,11,36.86
607208,R,77.82,283,81.43,112,78.84
607231,R,37.78,9,59.0,1,39.9
607345,R,78.89,37,69.63,27,74.98
607430,R,96.0,2,66.0,1,86.0
607461,L,75.73,135,65.85,13,74.86
607468,R,68.81,31,72.91,11,69.88
607536,L,61.42,12,27.0,5,51.3
607680,R,76.29,123,78.4,70,77.06
607732,R,78.62,157,77.75,93,78.3
608070,S,79.65,241,80.25,138,79.87
608324,R,78.29,129,79.49,81,78.75
608328,L,58.5,6,15.0,4,41.1
608331,L,56.5,24,70.25,12,61.08
608334,R,50.0,1,17.0,1,33.5
608336,L,82.26,155,75.85,86,79.97
608344,L,39.5,2,65.0,3,54.8
608348,R,77.4,100,82.88,76,79.77
608369,L,80.63,139,79.37,65,80.23
608385,L,80.43,271,77.45,74,79.79
608422,L,72.1,21,50.5,2,70.22
608566,R,64.2,30,47.6,10,60.05
608577,L,79.84,108,76.23,13,79.45
608596,R,77.55,64,79.43,74,78.56
608597,L,76.22,9,85.0,1,77.1
608671,L,71.55,77,58.29,14,69.51
608686,R,70.78,74,66.25,44,69.09
608700,R,78.3,61,76.96,49,77.7
608701,R,78.28,47,83.12,32,80.24
609275,S,84.89,18,75.38,13,80.9
609280,R,73.08,80,73.47,47,73.22
613564,L,75.0,46,81.86,7,75.91
614173,L,75.73,66,50.82,11,72.17
614177,R,79.66,140,80.7,70,80.01
620443,R,73.23,111,84.16,79,77.77
621002,R,69.45,38,74.11,9,70.34
621006,R,68.2,15,76.29,17,72.5
621008,R,87.0,1,76.0,3,78.75
621011,L,82.42,40,87.0,2,82.64
621020,R,79.29,281,80.58,97,79.62
621028,R,70.48,269,73.17,134,71.37
621035,R,78.78,223,79.61,88,79.01
621043,R,80.25,232,76.86,132,79.02
621107,R,60.0,13,21.71,7,46.6
621111,R,41.5,20,63.9,10,48.97
621219,R,51.29,7,12.0,1,46.38
621261,R,19.0,1,-4.0,1,7.5
621311,L,77.92,110,72.92,40,76.59
621433,L,82.22,93,69.94,31,79.15
621438,R,78.1,107,80.07,54,78.76
621439,R,84.7,61,75.29,34,81.33
621446,R,74.89,98,78.25,40,75.86
621450,S,71.14,21,70.28,18,70.74
621453,L,78.67,123,75.15,20,78.18
621458,L,75.29,24,74.44,9,75.06
621466,L,75.14,139,74.46,26,75.03
621493,R,80.58,101,78.43,51,79.86
621500,R,71.73,11,83.64,11,77.68
621512,R,78.88,74,81.31,26,79.51
621532,L,67.62,13,69.75,4,68.12
621550,R,81.95,109,87.81,43,83.61
621563,L,75.55,231,73.38,65,75.07
621566,L,81.12,243,75.13,143,78.9
621573,R,76.33,9,66.0,12,70.43
622100,R,78.26,54,82.9,20,79.51
622110,R,76.97,105,75.59,49,76.53
622168,R,60.75,4,76.6,5,69.56
622268,L,70.17,36,79.71,14,72.84
622491,R,55.72,18,41.1,10,50.5
622503,R,10.33,3,48.0,1,19.75
622534,R,74.67,162,74.1,135,74.41
622569,R,68.07,29,76.78,23,71.92
622608,R,36.05,21,34.67,6,35.74
622666,S,67.33,9,26.0,1,63.2
622668,S,52.0,1,64.5,2,60.33
622682,S,79.93,84,69.62,40,76.6
622694,R,43.33,3,35.67,3,39.5
622761,R,76.2,80,73.17,40,75.19
623205,S,85.08,24,70.14,14,79.58
623323,R,47.0,2,-1.0,1,31.0
623520,R,77.08,137,75.3,50,76.6
623912,R,78.01,144,75.48,85,77.07
623993,S,79.61,174,80.16,81,79.78
624133,L,32.2,5,59.0,1,36.67
624413,R,80.07,248,80.12,104,80.08
624414,R,71.66,68,79.65,51,75.08
624415,L,78.65,136,76.65,37,78.22
624424,L,79.18,172,81.04,55,79.63
624428,L,76.46,317,76.37,112,76.44
624431,R,74.79,119,75.19,73,74.94
624503,L,84.43,74,66.86,21,80.55
624512,L,76.56,119,76.52,25,76.55
624513,L,79.03,101,65.41,17,77.07
624522,R,73.0,2,18.0,1,54.67
624585,R,80.02,207,84.14,93,81.3
624641,R,72.43,128,76.81,52,73.7
628338,R,71.83,145,82.09,67,75.07
628450,L,78.14,104,80.63,35,78.77
628451,R,76.19,103,81.73,70,78.43
628711,L,63.56,32,58.57,7,62.66
630105,L,77.43,293,76.63,123,77.19
640444,R,51.4,10,54.2,10,52.8
640449,R,73.46,76,80.12,42,75.83
640455,R,50.0,2,6.0,2,28.0
640457,L,80.73,231,78.35,115,79.94
640458,R,76.1,69,73.6,52,75.03
640461,R,74.27,49,79.78,54,77.16
640470,R,48.77,13,32.2,5,44.17
641154,L,53.78,9,51.0,9,52.39
641313,R,78.64,263,75.44,90,77.82
641343,L,77.74,144,70.24,37,76.21
641355,L,80.61,131,77.19,54,79.61
641432,L,82.43,134,73.98,44,80.34
641470,L,80.49,82,81.65,31,80.81
641487,L,74.82,245,71.51,165,73.49
641505,R,74.12,34,69.21,28,71.9
641531,R,79.0,202,81.17,80,79.62
641553,R,78.08,52,76.14,28,77.4
641561,R,73.71,17,66.87,15,70.5
641583,L,78.16,19,71.0,3,77.18
641584,L,77.14,83,67.84,37,74.27
641598,R,80.92,65,83.29,52,81.97
641645,L,75.75,77,67.22,23,73.79
641658,R,72.56,180,76.2,103,73.88
641680,S,75.24,131,76.35,49,75.54
641684,R,80.67,15,86.86,7,82.64
641745,R,68.0,1,30.67,3,40.0
641771,R,42.36,11,95.0,1,46.75
641778,R,64.44,9,21.5,4,51.23
641786,R,79.08,65,83.14,28,80.3
641796,R,68.09,70,75.05,37,70.5
641816,R,49.04,26,43.14,7,47.79
641820,R,76.03,227,82.09,137,78.31
641829,L,75.88,67,60.89,27,71.57
641856,L,79.35,147,74.68,38,78.39
641857,L,82.13,231,78.79,91,81.19
