pitcher,p_throws,hev_R,ab_R,hev_L,ab_L,ip,wHEV
642547,R,50.29,164,57.59,203,5.1,54.33
642659,R,80.0,2,66.0,5,1.7,70.0
642701,R,62.68,94,61.85,66,1.0,62.34
642758,R,48.45,11,80.5,2,0.9,53.38
642851,R,80.33,3,99.0,1,1.0,85.0
643230,L,66.35,89,65.82,11,4.3,66.29
643256,R,58.85,131,61.75,72,1.0,59.88
643290,R,63.2,80,66.53,87,4.5,64.93
643316,L,55.38,89,59.64,64,0.9,57.16
643327,R,69.9,10,55.5,2,1.6,67.5
643338,R,59.42,120,58.67,98,1.2,59.08
643377,R,69.36,122,69.77,77,4.4,69.52
643400,R,73.27,15,56.54,13,1.5,65.5
643493,R,72.38,16,67.45,11,1.2,70.37
643511,R,65.48,125,55.34,104,1.0,60.87
643565,L,86.67,3,80.67,3,1.0,83.67
643615,R,68.07,42,70.58,19,3.0,68.85
643778,L,63.97,34,72.0,33,0.8,67.93
645261,R,52.57,304,63.46,304,6.1,58.02
647315,R,56.97,101,57.76,59,1.1,57.26
649144,L,78.91,54,63.09,23,3.1,74.18
650347,R,75.09,11,74.31,13,1.5,74.67
650382,L,58.82,61,61.21,39,0.8,59.75
650496,R,56.09,74,71.71,103,3.4,65.18
650530,R,72.11,71,73.31,45,1.0,72.58
650556,R,66.63,78,61.56,48,1.1,64.7
650633,R,65.34,111,60.85,61,3.4,63.75
650644,R,71.2,162,62.81,165,6.5,66.97
650668,R,62.24,21,62.91,23,5.3,62.59
650671,L,44.41,34,58.53,17,1.0,49.12
650828,R,58.63,84,65.46,50,1.0,61.18
650893,L,60.36,119,61.31,70,1.0,60.71
650895,R,47.84,101,64.84,45,1.0,53.08
650911,L,66.1,20,42.67,12,1.5,57.31
650959,R,59.37,30,70.43,23,1.4,64.17
655889,R,56.0,22,58.92,25,1.0,57.55
656061,R,56.18,57,58.79,33,1.4,57.14
656186,R,71.5,2,56.5,2,0.7,64.0
656212,L,75.27,81,67.19,27,4.5,73.25
656232,R,65.34,83,64.86,57,1.6,65.14
656266,R,69.29,41,68.5,28,0.8,68.97
656288,R,62.87,127,65.81,100,4.3,64.17
656302,R,62.13,227,59.04,235,5.3,60.56
656322,R,52.07,70,59.96,50,1.1,55.36
656353,L,66.32,56,52.58,12,5.0,63.9
656354,L,66.95,42,48.91,33,1.0,59.01
656420,R,59.08,84,63.62,61,1.0,60.99
656427,R,64.74,113,67.48,126,5.4,66.18
656457,L,67.5,54,62.08,36,4.0,65.33
656458,L,57.81,58,56.71,55,0.9,57.27
656464,R,68.38,61,58.34,38,0.9,64.53
656529,L,69.08,167,64.75,51,2.6,68.07
656546,R,67.21,111,64.69,111,2.7,65.95
656548,R,61.06,67,72.5,46,2.8,65.72
656557,R,51.57,81,60.63,75,4.0,55.93
656578,R,66.33,12,52.44,18,4.2,58.0
656605,R,63.82,149,72.8,141,4.3,68.19
656620,R,77.33,18,64.0,27,1.0,69.33
656629,R,60.43,97,47.83,70,1.5,55.15
656638,R,73.4,48,74.85,34,1.0,74.0
656641,L,74.31,16,0.0,2,4.7,66.05
656669,R,88.25,4,76.0,1,1.0,85.8
656685,L,67.83,120,63.63,81,1.0,66.14
656686,R,75.34,38,66.46,28,3.3,71.57
656725,R,73.75,4,67.2,5,1.0,70.11
656730,R,70.5,42,47.59,17,0.8,63.9
656731,R,55.7,120,65.23,115,5.0,60.36
656756,L,65.68,337,59.73,98,5.4,64.34
656793,R,58.93,27,56.84,25,1.3,57.93
656794,L,55.57,60,51.3,27,1.0,54.24
656803,R,75.1,10,76.8,5,0.9,75.67
656818,R,75.0,12,55.62,8,1.5,67.25
656849,L,65.67,171,62.0,54,4.4,64.79
656876,R,62.99,116,62.88,65,1.8,62.95
656887,R,60.35,43,60.82,33,1.7,60.55
656945,L,61.45,102,52.94,52,0.9,58.58
656954,L,74.07,221,63.97,63,4.4,71.83
656970,L,71.0,7,70.0,5,4.7,70.58
656981,R,73.33,6,53.6,5,1.0,64.36
657006,L,58.51,76,47.17,23,2.0,55.88
657024,R,61.9,48,65.7,46,1.1,63.76
657031,L,64.99,80,46.0,70,0.8,56.13
657044,R,50.88,97,67.44,18,0.9,53.47
657053,R,62.61,89,64.37,59,4.7,63.31
657093,R,77.7,89,71.3,89,4.2,74.5
657097,R,64.48,56,66.59,29,1.1,65.2
657140,R,50.0,10,83.93,14,3.1,69.79
657141,R,76.78,18,65.56,9,3.1,73.04
657228,R,64.0,29,61.31,13,0.9,63.17
657240,R,41.17,6,56.33,3,1.1,46.22
657248,R,53.11,18,77.0,11,4.8,62.17
657277,R,52.31,199,58.66,177,5.2,55.3
657610,R,72.57,7,0.0,1,1.1,63.5
657612,L,55.9,89,51.99,89,0.8,53.94
657746,R,72.17,6,57.9,10,5.0,63.25
658069,R,95.0,2,91.5,2,1.0,93.25
658305,R,73.27,33,67.64,22,1.3,71.02
658551,R,62.84,44,66.56,36,1.1,64.51
659275,R,56.21,62,60.64,66,2.9,58.49
660271,R,53.06,168,62.86,188,5.6,58.24
660365,L,67.52,82,76.81,32,3.1,70.13
660422,R,61.12,8,0.0,1,0.8,54.33
660546,R,67.61,36,71.03,36,1.3,69.32
660600,R,42.86,21,74.12,8,0.7,51.48
660623,R,66.15,120,62.52,94,5.2,64.56
660761,L,63.54,166,61.31,62,3.8,62.93
660813,R,52.62,52,63.23,35,1.0,56.89
660825,R,47.5,4,65.2,5,1.5,57.33
660853,R,61.6,52,54.45,42,1.1,58.41
660896,R,60.11,100,58.1,62,1.0,59.34
660906,L,90.0,2,74.4,5,1.3,78.86
661255,R,73.9,30,69.0,17,0.9,72.13
661269,R,62.28,188,70.63,166,5.4,66.2
661403,R,54.57,110,54.41,94,1.0,54.5
661440,R,64.46,13,95.09,11,1.1,78.5
661563,R,65.67,24,60.42,24,5.2,63.04
663366,R,72.17,29,88.31,16,1.8,77.91
663378,L,70.07,14,105.0,1,3.7,72.4
663399,L,75.52,23,84.5,14,1.0,78.92
663423,R,67.15,119,63.65,48,1.3,66.14
663432,R,63.55,56,65.22,36,0.8,64.2
663460,L,64.98,293,59.52,58,4.1,64.08
663465,L,68.51,293,67.23,96,4.1,68.19
663474,R,61.8,172,63.27,128,4.8,62.43
663531,L,72.41,98,68.39,31,3.9,71.44
663554,R,63.89,253,68.14,209,5.4,65.81
663556,L,61.89,298,57.41,68,5.0,61.06
663559,L,63.51,57,60.1,31,1.7,62.31
663574,R,57.92,62,60.85,47,1.8,59.18
663734,R,66.75,63,76.12,56,4.5,71.16
663738,L,66.75,157,67.5,24,4.8,66.85
663753,R,63.17,35,66.19,26,2.3,64.46
663765,R,64.27,70,73.7,74,2.0,69.12
663770,R,57.31,52,71.35,31,1.1,62.55
663776,L,52.77,219,52.41,87,5.1,52.67
663804,R,67.21,28,83.67,15,2.6,72.95
663855,R,57.89,18,59.56,9,1.0,58.45
663878,R,80.1,10,81.43,7,1.6,80.65
663903,R,60.73,190,63.06,217,4.7,61.97
663959,R,87.67,9,82.12,8,4.3,85.06
663978,R,63.65,177,65.1,185,4.7,64.39
663986,R,57.2,112,66.09,78,1.5,60.85
663992,L,64.67,39,55.89,27,1.0,61.08
664042,R,66.06,53,65.6,43,1.2,65.85
664045,R,73.15,59,82.61,28,3.6,76.19
664054,R,45.03,33,66.79,24,1.0,54.19
664062,R,52.94,48,56.71,73,3.5,55.21
664074,R,63.17,52,73.82,38,2.8,67.67
664076,L,61.34,29,61.58,33,0.8,61.47
664092,R,64.04,27,66.86,22,1.2,65.31
664123,R,65.5,4,17.75,4,1.4,41.62
664126,R,52.85,68,61.55,47,0.9,56.41
664129,R,62.6,20,58.54,13,1.3,61.0
664139,R,68.33,6,77.9,10,2.5,74.31
664141,R,63.81,217,67.02,199,5.2,65.35
664157,L,67.2,25,57.56,9,1.1,64.65
664192,L,66.66,96,60.24,25,3.5,65.33
664199,R,66.27,99,70.82,67,1.0,68.11
664208,R,52.49,112,58.99,86,1.0,55.31
664285,L,61.64,300,45.5,46,6.1,59.49
664299,R,55.05,156,68.09,107,3.0,60.36
664337,R,67.3,10,62.24,17,4.7,64.11
664353,R,67.38,177,57.98,108,5.4,63.82
664682,R,62.44,18,70.62,13,1.0,65.87
664714,R,65.02,44,68.12,17,2.1,65.88
664776,R,48.51,39,44.52,27,1.0,46.88
664789,R,63.0,1,44.0,3,1.0,48.75
664852,R,44.33,6,74.5,4,1.3,56.4
664854,R,64.43,99,64.37,62,0.9,64.41
664875,R,65.0,41,58.9,20,0.9,63.0
664901,R,79.67,3,0.0,1,1.0,59.75
664918,R,66.93,43,70.65,34,1.0,68.57
664948,L,68.68,97,64.27,64,0.9,66.93
665152,R,72.98,106,66.5,76,4.1,70.27
665620,R,57.8,15,82.31,16,4.2,70.45
665621,R,74.0,6,84.67,3,1.7,77.56
665625,R,86.0,5,87.75,4,0.8,86.78
665661,R,80.12,8,86.83,6,1.1,83.0
665733,R,63.38,26,60.3,10,1.6,62.52
665759,R,80.0,4,85.0,4,1.3,82.5
665795,R,58.46,13,81.89,19,5.0,72.37
665854,R,66.48,50,66.71,41,1.4,66.58
665896,R,44.0,3,47.0,2,2.0,45.2
666120,R,61.96,182,55.36,165,5.4,58.82
666129,L,66.17,92,57.42,33,4.2,63.86
666159,R,75.04,145,73.83,103,4.8,74.54
666168,R,52.87,39,75.33,24,0.9,61.43
666200,L,65.7,206,62.23,61,3.6,64.91
666201,R,58.68,143,59.81,126,5.3,59.21
666205,L,62.98,89,66.83,30,4.0,63.95
666619,R,77.5,8,54.0,2,0.7,72.8
666808,R,50.24,25,65.44,18,0.9,56.6
667297,R,47.86,36,70.79,29,1.1,58.09
667376,R,54.52,40,70.4,40,0.9,62.46
667463,L,59.15,116,53.73,52,1.7,57.47
667465,L,77.69,13,78.0,5,0.9,77.78
667498,R,71.79,63,72.36,39,2.1,72.01
668665,R,66.75,4,59.0,5,3.0,62.44
668670,R,98.0,1,62.5,4,1.0,69.6
668676,R,65.96,230,69.95,186,5.7,67.74
668678,R,68.28,129,62.58,160,5.0,65.12
668687,R,68.12,42,71.11,18,1.1,69.02
668820,R,68.98,50,67.25,52,4.1,68.1
668941,L,68.78,18,66.5,18,0.8,67.64
669060,R,64.54,103,70.56,111,4.7,67.66
669135,R,60.39,18,72.39,18,1.5,66.39
669145,L,68.49,175,60.1,48,4.9,66.68
669160,R,56.14,37,51.91,33,4.6,54.15
669203,R,53.61,203,58.62,217,6.0,56.2
669211,L,71.7,203,63.46,79,3.7,69.39
669212,R,64.2,139,67.41,88,4.7,65.44
669214,L,62.11,35,68.5,18,1.8,64.28
669294,R,62.11,46,66.41,32,1.6,63.87
669302,R,62.26,176,66.24,153,4.8,64.11
669330,R,64.19,106,50.05,56,1.4,59.3
669373,L,61.42,389,65.11,82,5.1,62.06
669424,R,69.5,16,73.62,13,2.6,71.35
669432,L,59.32,288,51.56,79,5.5,57.65
669456,R,60.38,151,56.66,137,6.5,58.61
669459,L,66.04,28,67.0,6,1.0,66.21
669618,R,57.29,28,61.81,26,1.0,59.47
669622,R,47.72,94,68.22,60,1.0,55.71
669674,L,70.86,83,55.81,54,3.8,64.93
669735,R,60.81,62,61.45,42,2.0,61.07
669912,L,87.54,13,55.0,8,1.1,75.14
669935,R,59.29,7,48.57,7,4.7,53.93
669952,R,57.72,65,68.3,64,2.2,62.97
670050,R,71.44,9,31.75,8,1.0,52.76
670056,L,67.11,36,70.3,23,0.8,68.35
670057,L,65.78,9,91.0,1,2.3,68.3
670090,R,60.37,38,60.8,15,1.2,60.49
670280,R,56.46,100,60.62,72,1.0,58.2
670456,R,62.55,29,63.12,32,1.1,62.85
670550,R,73.31,13,50.55,11,1.8,62.88
670766,R,70.53,15,78.12,17,4.5,74.56
670912,R,60.21,107,69.4,116,4.5,64.99
670950,R,63.47,101,57.12,69,1.3,60.89
670955,R,68.47,30,57.13,39,1.4,62.06
670970,L,62.06,16,56.0,2,2.4,61.39
670990,R,42.88,41,61.22,18,1.3,48.48
671345,R,77.35,17,64.62,8,1.1,73.28
671790,R,47.0,11,45.75,8,2.1,46.47
672282,L,63.64,61,65.31,16,4.7,63.99
672335,L,61.35,48,61.94,31,0.9,61.58
672578,R,61.66,137,62.55,101,3.4,62.04
672715,R,64.29,122,67.3,77,4.4,65.45
674944,L,62.32,28,73.28,18,1.7,66.61
675912,L,61.89,27,72.56,9,1.7,64.56
675916,R,66.63,67,54.6,92,0.9,59.67
675921,R,66.05,66,56.1,59,2.5,61.35
676050,L,59.43,21,57.12,17,3.0,58.4
676051,R,59.49,120,66.54,80,1.0,62.31
676220,R,67.76,21,68.41,17,1.0,68.05
676265,R,68.91,23,74.54,26,2.1,71.9
676424,R,85.12,25,69.17,18,2.5,78.44
676477,R,54.64,149,63.51,81,1.6,57.76
676596,L,66.83,284,54.7,99,4.5,63.69
676604,R,64.24,34,75.46,35,0.8,69.93
676606,L,73.41,32,69.31,13,2.4,72.23
676684,R,65.33,67,68.4,60,1.1,66.78
676709,R,59.54,24,82.0,9,1.6,65.67
676755,R,65.71,7,95.75,4,1.0,76.63
676766,R,70.0,7,71.4,5,0.9,70.58
676831,R,68.63,27,47.45,20,0.9,59.62
676840,R,59.21,184,73.49,160,2.4,65.85
676879,L,61.43,58,32.67,6,3.0,58.73
676886,R,48.8,20,67.79,14,1.2,56.62
676969,R,66.14,98,65.91,65,1.0,66.05
676979,L,55.48,96,63.0,46,1.1,57.92
677651,R,54.82,228,63.08,202,5.1,58.7
677865,L,52.15,13,62.78,23,0.9,58.94
677960,L,68.01,206,67.46,96,3.3,67.84
677976,R,64.49,112,73.35,94,3.6,68.53
680430,L,90.0,1,56.5,2,1.0,67.67
680686,R,56.55,83,57.31,58,5.0,56.86
680692,R,94.0,1,87.0,3,0.0,88.75
680704,R,45.34,67,56.89,35,1.0,49.3
681806,R,48.42,26,49.82,17,1.3,48.97
681810,R,54.55,38,62.79,14,1.4,56.77
681867,R,86.17,6,91.0,4,1.3,88.1
681911,L,63.48,48,53.77,43,1.1,58.89
683232,R,66.21,28,63.23,26,0.8,64.78
685503,R,76.52,69,72.56,45,4.0,74.96
