pitcher,p_throws,hev_R,ab_R,hev_L,ab_L,ip,wHEV
519043,L,68.27,175,64.84,79,3.2,67.2
519048,L,78.0,2,92.0,1,1.0,82.67
519076,R,49.14,42,52.22,37,1.0,50.58
519141,L,62.32,53,51.38,29,0.9,58.45
519151,R,60.48,98,57.17,76,1.0,59.03
519203,L,26.0,1,0.0,1,0.7,13.0
519242,L,49.84,62,61.27,11,5.2,51.56
519293,L,61.8,126,57.23,53,1.0,60.45
519299,R,80.15,13,81.14,7,0.9,80.5
519326,R,60.2,102,66.43,61,1.1,62.53
519443,R,74.22,64,69.43,37,0.9,72.47
519455,R,86.08,13,82.1,10,2.7,84.35
520980,R,65.71,7,40.8,5,1.1,55.33
521230,R,48.4,93,54.99,89,1.0,51.62
523260,R,49.41,64,67.65,48,0.9,57.23
527048,L,72.73,303,57.01,79,3.4,69.48
527054,R,62.67,3,79.23,13,5.0,76.12
528748,R,60.89,35,66.51,35,2.3,63.7
533167,R,63.29,124,72.43,118,3.7,67.75
534910,R,81.5,2,74.09,11,0.7,75.23
541640,R,67.48,63,70.8,35,1.6,68.67
541650,R,39.67,3,62.75,4,1.0,52.86
542585,R,60.43,130,61.76,58,0.9,60.84
542881,L,63.9,405,64.12,127,5.7,63.95
542882,R,65.2,95,72.26,58,1.4,67.88
542888,R,62.04,74,62.16,44,1.1,62.08
542914,R,56.87,92,73.92,76,0.8,64.58
542947,L,60.92,97,56.85,72,0.8,59.19
542960,R,56.5,66,66.15,40,0.9,60.14
542992,R,90.0,2,76.0,3,1.0,81.6
543022,R,55.92,66,71.42,36,1.0,61.39
543037,R,58.34,273,51.73,225,6.2,55.35
543045,L,72.58,19,57.25,12,1.2,66.65
543056,L,62.26,46,55.46,39,1.1,59.14
543101,R,62.26,242,63.84,239,5.4,63.05
543135,R,62.56,304,63.15,254,5.8,62.83
543243,R,62.68,182,63.66,155,5.2,63.13
543258,R,64.0,2,89.0,1,1.0,72.33
543272,L,70.07,129,58.65,46,1.0,67.07
543278,L,60.0,3,15.5,2,1.0,42.2
543294,R,64.91,338,67.82,244,5.7,66.13
543339,R,52.39,77,64.63,59,1.0,57.7
543351,R,57.86,29,66.0,19,0.9,61.08
543456,L,75.8,5,57.0,2,0.4,70.43
543475,R,68.48,333,68.94,222,5.4,68.66
543507,R,56.92,106,55.04,75,0.9,56.14
543521,R,59.4,112,49.58,57,1.8,56.09
543548,L,66.83,41,57.17,12,2.3,64.64
543594,L,63.4,42,77.0,24,4.3,68.35
543606,R,63.54,180,62.93,140,4.4,63.27
543699,R,73.33,12,72.38,16,2.3,72.79
543766,R,57.95,107,62.81,104,0.9,60.35
543883,R,61.67,9,46.57,7,2.0,55.06
543901,R,58.84,31,91.0,6,2.4,64.06
544727,R,54.19,98,55.01,77,1.0,54.55
544931,R,58.19,42,77.55,29,4.3,66.1
545333,R,54.93,169,66.55,166,6.3,60.69
545343,R,56.73,56,63.94,31,1.3,59.3
546991,R,100.0,3,56.0,1,1.0,89.0
547001,R,66.75,48,60.26,58,4.4,63.2
547176,L,68.67,27,72.15,13,1.8,69.8
547179,R,53.95,21,68.54,26,1.1,62.02
547942,L,65.64,267,59.44,77,4.6,64.25
547943,L,66.53,416,68.99,111,5.7,67.05
547973,L,48.5,107,37.78,32,0.9,46.03
548384,L,58.6,83,42.0,52,0.8,52.21
548389,R,65.69,207,62.12,120,4.6,64.38
552640,R,51.35,152,61.17,54,1.3,53.92
553902,R,75.56,9,61.4,5,1.0,70.5
554340,R,57.27,96,67.93,73,0.9,61.87
554430,R,55.57,277,57.33,320,6.7,56.51
554431,L,54.12,92,58.81,63,0.9,56.03
570240,R,56.88,8,85.25,4,0.8,66.34
570257,L,64.55,94,46.23,44,0.9,58.71
570488,R,58.65,72,63.78,51,1.4,60.78
570632,R,64.73,164,77.28,167,4.4,71.06
570663,R,61.98,110,59.19,89,1.0,60.73
570666,R,67.23,105,69.66,62,1.2,68.13
571479,R,79.86,7,52.71,7,1.1,66.28
